language_group,qwen_delta_err,qwen_delta_f1,deepseek_delta_err,deepseek_delta_f1
ja,0.02635431918008657,0.001906072960237204,0.017569999999999975,0.010925999999999991
ko,0.03012048192771042,-0.0639759189383983,0.024096,-0.05577400000000002
th,-0.0712468193384227,-0.008214963691553445,-0.025444999999999995,0.014077000000000006
vi,0.008907641819034251,0.005950645312197245,0.0060949999999999616,0.004194000000000031
id,0.010209042294603843,0.0063046815386839095,0.02236299999999991,0.014982999999999969
non-Asian_avg,-0.008663819463012003,-0.007259329358845641,0.0034360000000000263,0.0020120000000000138
