stage,num_languages,old_macro_err,new_macro_err,delta_macro_err,err_wins,old_macro_f1,new_macro_f1,delta_macro_f1,f1_wins,old_macro_precision,new_macro_precision,delta_macro_precision,precision_wins,old_macro_recall,new_macro_recall,delta_macro_recall,recall_wins
detector,12,0.6696200288211818,0.6703161634626214,0.000696134641439583,6,0.8288811144901244,0.8273011005768051,-0.0015800139133193003,6,0.8544597857703311,0.8568869799736554,0.0024271942033242677,4,0.8055968230743452,0.8049523014526632,-0.0006445216216820482,6
dictionary_source,12,0.9073508652833755,0.906879873850276,-0.0004709914330994769,5,0.9531537183349961,0.9526225564648567,-0.0005311618701393517,4,0.9127043661889158,0.9116805239610036,-0.0010238422279121862,4,1.0,1.0,0.0,0
llm_source,12,0.1833734510529907,0.1588573119662348,-0.0245161390867559,6,0.491917921431597,0.4714166506718642,-0.020501270759732793,4,0.3810783045467583,0.3733335875178295,-0.00774471702892876,7,0.7458782753092189,0.6831505602686023,-0.06272771504061658,2
overall_final,12,0.4361317921633443,0.43143995296683835,-0.004691839196505954,7,0.6425681539929763,0.6334977549654136,-0.009070399027562681,5,0.6268395176073878,0.6196580492062667,-0.007181468401121105,6,0.664080405434904,0.6521800028300635,-0.011900402604840488,5
